codigo,periodo_oferta
ELE15983,AMBOS
EPR13005,AMBOS
INF15927,AMBOS
INF15933,AMBOS
INF15973,AMBOS
INF15974,AMBOS
INF15975,AMBOS
INF15976,IMPAR
INF15977,PAR
INF15978,AMBOS
INF15979,AMBOS
INF15980,AMBOS
INF15981,PAR
INF15984,IMPAR
INF16013,IMPAR
INF16014,PAR
INF16016,IMPAR
INF16021,AMBOS
INF16022,AMBOS
INF16023,AMBOS
INF16024,PAR
INF16025,AMBOS
INF16027,AMBOS
INF16028,PAR
INF16150,IMPAR
INF16151,IMPAR
INF16152,PAR
INF16153,AMBOS
INF16154,AMBOS
INF16155,PAR
INF16156,AMBOS
INF16157,IMPAR
INF16158,AMBOS
INF16159,PAR
INF16160,PAR
INF16161,AMBOS
INF16162,AMBOS
INF16163,IMPAR
INF16164,IMPAR
INF16165,AMBOS
INF16169,AMBOS
INF16170,AMBOS
INF16171,AMBOS
INF16172,AMBOS
INF16173,AMBOS
INF16174,AMBOS
INF16175,AMBOS
INF16176,AMBOS
INF16177,AMBOS
INF16178,PAR
INF16179,AMBOS
INF16180,AMBOS
INF16181,AMBOS
INF16182,AMBOS
INF16183,AMBOS
INF16184,AMBOS
INF16185,AMBOS
INF16186,AMBOS
INF16187,AMBOS
INF16188,AMBOS
INF17402,AMBOS
INF17403,AMBOS
INF17404,AMBOS
INF17405,AMBOS
INF17406,AMBOS
INF17407,AMBOS
INF17408,AMBOS
INF17409,AMBOS
INF17410,AMBOS
INF17411,AMBOS
INF17412,AMBOS
INF17413,AMBOS
INF17414,AMBOS
INF17415,AMBOS
INF17416,AMBOS
INF17417,AMBOS
INF17418,AMBOS
INF17419,AMBOS
INF17420,AMBOS
INF17421,AMBOS
LET16015,AMBOS
MAT15925,AMBOS
MAT15931,AMBOS
MAT15932,AMBOS
MAT15937,AMBOS
STA15932,AMBOS
