codigo_disciplina,codigo_prereq,bloco
INF16152,INF16150,1
INF16152,INF16151,1
INF16153,INF15927,1
MAT15931,MAT15925,1
INF15974,INF16153,1
INF16154,INF16152,2
MAT15932,MAT15925,1
MAT15937,MAT15931,1
STA15932,MAT15925,1
INF15933,INF15974,1
INF15975,INF15974,1
INF15980,INF15974,1
INF15980,INF16154,1
INF16028,INF15974,1
INF16155,INF15973,1
INF16155,INF16150,1
INF15978,INF15933,1
INF16013,INF15973,1
INF16156,INF16153,1
INF16156,MAT15931,1
INF16156,MAT15932,1
INF16157,INF15933,1
INF16158,INF15980,1
INF16159,INF15933,1
INF16160,INF15978,1
INF16161,INF15933,1
INF16162,INF15974,1
INF16162,INF16155,1
INF15979,INF15975,2
INF16016,INF16013,1
INF16016,STA15932,1
INF16163,INF15975,1
INF16163,INF16155,1
INF16163,INF16161,1
INF16164,INF15975,1
INF16164,INF16028,1
INF16165,INF15933,2
INF16165,STA15932,2
ELE15983,INF15933,1
ELE15983,MAT15932,1
EPR13005,INF15978,1
INF15976,INF15933,1
INF15977,INF15933,1
INF15981,INF15974,1
INF15981,MAT15932,1
INF15981,STA15932,1
INF15984,INF16153,1
INF15984,MAT15931,1
INF15984,MAT15932,1
INF16014,INF15933,1
INF16014,MAT15932,1
INF16021,INF15980,1
INF16022,INF15933,1
INF16022,INF16158,1
INF16023,INF16161,1
INF16024,INF15975,1
INF16025,INF16158,1
INF16027,INF16161,1
INF16169,INF15974,1
INF16170,INF16016,1
INF16171,INF16182,1
INF16172,INF15979,1
INF16173,INF16156,1
INF16174,INF16156,1
INF16175,INF15978,1
INF16176,INF15978,1
INF16177,INF16158,1
INF16178,INF15979,1
INF16178,INF16160,1
INF16179,INF16158,1
INF16180,INF15933,1
INF16180,MAT15932,1
INF16181,INF15973,1
INF16182,STA15932,1
INF16183,INF15978,1
INF16184,INF16162,1
INF16185,INF15933,1
INF17402,INF16158,1
INF17403,INF15974,1
INF17404,INF15974,1
INF17405,INF15933,1
INF17405,INF15973,1
INF17406,INF16158,1
INF17407,INF15975,1
INF17408,INF15933,1
INF17409,INF15933,1
INF17409,STA15932,1
INF17410,INF16158,1
INF17411,INF15975,1
INF17412,INF15927,1
INF17412,MAT15931,1
INF17412,MAT15932,1
INF17413,INF15927,1
INF17413,MAT15931,1
INF17413,MAT15932,1
INF17414,INF15933,1
INF17415,INF15974,1
INF17416,INF15927,1
INF17416,MAT15931,1
INF17416,MAT15932,1
INF17417,INF15933,1
INF17417,INF15978,1
INF17418,INF15978,1
INF17419,INF15978,1
INF17420,INF15978,1
INF17421,INF15978,1
INF16187,INF16165,1
INF16188,INF16187,1
